userName,score,at,content
Taufik Bakransungkar,1,2026-05-05 14:05:50,"makin kesini makin bego KAI....kalau kerja itu yg serius jgn main main jadi halal hasilnya ...ngatur jalan saja susahnya sampai ditahan 30mnt lebih,kereta kaya bus ekonomi...sampai 3X oper penumpang...Ac ga dingin..Pak kalau SDH ga produktif pensiun bagusan atau resign..jgn kebehoan kalian ditimpakan ke customer....saya bayar memang sesuai tarif...sangat buruk pelayanan dan ketepan waktu yg buruk....telat terus ..."
tono item,3,2026-05-05 13:57:37,"menu pemilihan kursi,kenapa jadi gak bis a pilih di kursi E eko....yg sebelumnya sudah bagus, diganti malahan jadi jelek..."
Hidayat Hidayat,1,2026-05-05 13:41:52,"seharusnya kai acces jangan kebanyakan bisnis masa tiket murah beli di aplikasi kai acces cepat habis giliran beli di traveloka, shopee, tokopedia dll ada harusnya tiket mahal suruh beli di aplikasi selain kai acces sbb orang2 kaya banyak duitnya tiket mahal kebeli tolong kemenhub ,kpk, anggota dewan di usut sbb tiap mo beli tiket murah di bawah 100ribu sulit dri sebelum sebulan sdh habis giliran tiket mahal banget kursi kosong pantes banyak kecelakaan kereta bisnis mulu merugi"
Current Acc,3,2026-05-05 13:38:02,"min, aplikasinya untuk tiket masih ada yang bug, seperti tidak ada keterangan tiket, dan harga tiketnya jadi 0/null"
Hafidz Fajarudin,5,2026-05-05 13:26:11,"kembalikan Booking hingga 10 Kursi Per Akun seperti dulu lah min, kita mau hiling lebih dr 4 orang jadi bingung harus bolak balik, keburu di ambil orang lain kursinya hadehhh"
Ricka Afridadewi,2,2026-05-05 13:08:15,"Aplikasinya bkin cape bgt, byk bgt tahapan yg ga penting, bisa ga sih dibikin simple aja, kalo lg buru2 ngga bgt deh, ditambah drama erorrr dahlah.."
Muhammad Afif,5,2026-05-05 12:36:19,"pelayanan mantabb, terbaik, sehat selalu buat semua jajaran kai"
Wilda Sukma,1,2026-05-05 12:34:14,"Pelayanannya miris, nyaris no etik. note: bukan apknya. tpi sampai saat ini sy skit hati sma KAI, trauma berat!!!"
Farida Galihh,1,2026-05-05 12:18:00,saya donlod aplikasi ini tpi tidak bisa membantu tidak bisa masuk ke aplikasi
herman evin,5,2026-05-05 10:48:45,pelayanan bagus
Rangga Aleandro,5,2026-05-05 10:24:59,respon sangat cepat. good buat KAI. semoga semakin maju
sukri sukro,1,2026-05-05 08:05:48,aplikasi menyusahkan !
Muhammad Tauhid,1,2026-05-05 07:01:56,"pemesanan lebih dari 30 tiket, 1 nama yg salah pun tiket hangus NIK sesuai padahal, tidak bisa dirubah nama nya, tidak bisa dibatalian tidak bisa beli tiket lagi, aplikasi aneh, keberangkatan pun masih 2 pekan lagi, bener bener mengecewakan."
Much Lie sien,5,2026-05-05 07:00:50,good
Aisya N. Fardani,5,2026-05-05 06:07:20,josjis
Jodi Prihariadi,2,2026-05-05 05:44:11,nggak bisa pesan tiket kereta bandara nih.. setelah isi data penumpang nggak ada next nya.. mohon bisa diperbaiki
Vatur RM,1,2026-05-05 02:41:22,update aplikasi baru. reduksi jadi hilang. nama daftar penumpang juga hilang
Dino arianto,1,2026-05-05 02:34:28,"apa si harus nunggu kode sebelum brangkat 2 jam kenapa ga pas bayar lasung dapet kode, tiket saya hangus 2 kali gara"" 2 kali pas sibuk apk ga jelas emang lu doang yg punya urusan"
jeppnineteen,5,2026-05-05 02:19:52,oke lah
Danny Darsan,3,2026-05-05 01:04:48,"kereta api supas jam 2 pagi tujuan gubeng porong kenapa,di hilangkan. tolong buka lagi . biar saya tidak nunggu kereta jam 5 pagi tujuan turun di stasiun porong. sangat kecewa harus oper2"
Mooca Developer,1,2026-05-04 22:37:42,"Aplikasi terbaru Mei 2026 jadi ngebug, error, UX nya cacat. Hasil pencarian kereta ngeblank. Tidak bisa isi data penumpang tersimpan 🤣. Awalnya sudah bagus, sejak diupdate jadi gak jelas sistemnya"
FITRIYANI,2,2026-05-04 21:57:19,"buka aplikasi br bbrapa menit udah gak bs mlanjutkan pilihan, selalu eror..kt gak bs lama2 buka aplikasi, kt gak bs lama2 milih kursi,,slalu ket nya corred dsb pdhal kt lg mau milih kursi dan perbarui data tp kembali eror,,lha gmna itu bs tjadi, kita bukannya sengaja..trua promo srg tdk terinfo,,hrs nya d info agar semua masyarakat bisa mrasakan promo yg dlaksanakan..."
Hakim TV,5,2026-05-04 20:57:38,mantap
Muhammad Irfan Pamungkas,1,2026-05-04 13:57:38,sering error
Velecia Dyne,5,2026-05-04 13:44:21,baik
Dhita Kurniawan,1,2026-05-04 13:07:50,makin kacau nih. banyakrute perjalanan yg ga muncul. loading terus.
Suhendar 1995,4,2026-05-04 13:06:22,"aplikasi nya kenapa ya kalo mau pesen tiket suka mendadak eror , jadwal nya ga muncul muncul"
topik hidayat,5,2026-05-04 13:04:15,sangatt bagusss
Reza Kavinaufal,1,2026-05-04 12:13:14,"Tolong jadi perhatian kualitas aplikasi ini, karena ga semua orang punya waktu untuk menerima lambatnya aplikasi!!"
fathonah hamidah,1,2026-05-04 12:11:54,lemot banyak loading
MOHAMMMAD ILHAM RIYADI,1,2026-05-04 12:10:56,kenapa apk kai sering eror
Cahya Wicaksana (Yo2k),1,2026-05-04 12:05:59,sulit di akses
henry budiyana,5,2026-05-04 12:04:53,"aplikasi access by kai tidak kompatibel dengan perangkat saya, gimana solusinya ya, mohon dibantu"
Erlin Triyuliani,3,2026-05-04 11:49:27,Haloo minn kenapa akhir-akhir ini gabisa selalu di bukaa yaa buat barcode nya ituu jadi jantungan padahal besok mau pergi eh lihat di tiket nya malah ngga bisa barocde nyaa
ꤰ꥓ꥁꥋꥆꥉꤽꥈꤾ꥓ꤳꥌꤶꥇꤰ꥓,3,2026-05-04 11:40:40,"kalo yang akses banyak suka lemot/ delay aplikasinya, mohon untuk di tingkatkan lebih baik"
Awabin m,1,2026-05-04 11:37:33,TERLALU SERING GANGGUAN
Muhammad Handika Atmajati,1,2026-05-04 11:37:32,aplikasi dikit dikit error
Oryza Wardana,1,2026-05-04 11:36:36,"lag parah, udah diulang ulang masih lag, gak bisa pesen tiket, mana perlu banget lagi"
Thoriqul Aziz Alfahri HS,1,2026-05-04 11:36:26,aplikasi sering down
Bayu Alfiansah,1,2026-05-04 11:33:43,di saat osi saldo kai pake BRI sudah mah kena admin bank 6500 di kai malah kena potongan lagi.isi saldo 23000+6500 admin setandar bank BRI masuk cuma 21 ribu berarti kena potongan 2000 biaya admin keseluruhan jadi 8500.
khusus work,3,2026-05-04 11:18:28,"Kok skrg lemot sih aplikasinya, ga sinkron juga sama tiket yg tersedia"
Sulastri,3,2026-05-04 11:16:30,"maaf sebelumnya,kenapa ya tiketnya kok gada yg muncul padahal uda diupdate,diunstal dan da didownld lgi pun masih tetap sama,kendalanya dimana ya soalnya mau berangkat pake kai jdi gabisa🥲"
akbar bin arifin,1,2026-05-04 11:05:45,aplikasi apaan ini malah ssring eror.. mau cari tiket malah tidak tersedia mulu.. pdhal uda bnar mekanismenya
Nanang Sutrisno,5,2026-05-04 10:37:04,pakai KAI Lodaya ke Yogyakarta tempatnya enak karena New Generation
satmoko prasetyo,4,2026-05-04 09:59:45,sering gagal
Utra saputra,1,2026-05-04 08:30:58,"verifikasi otp akun basic ga bisa"" 💩"
Alintiaa Suci,5,2026-05-04 03:42:52,sangat membantu
Abdullah Salim,5,2026-05-04 01:33:00,semoga makin berinovasi dan makin lebih murah
Nanang Setiawan,1,2026-05-04 01:24:24,"apl yg ribet bgt, lupa sandi tp ga ada solusi, bikin akun baru jg ttep ga acc, ngecek jadwal pun ga bisa"
yori soewoyo,1,2026-05-04 00:15:44,"aplikasi sampah, jadwal kereta ga ada"
Farid Gun,3,2026-05-04 00:03:57,tolong dibenahi kembali di masalah payment. kadang transaction not found
vician movi,1,2026-05-03 22:04:28,"aplikasiny bagus, pelayanan staf kurang baik terlalu cuek"
Naufal Fauzan,1,2026-05-03 22:04:14,"aneh jadi ngebug,gabisa beli tiket kcewa pokonya saya mau berangkat sekolah tiket gabisa di beli semaleman"
Yanti Oppo,5,2026-05-03 20:09:28,"semenjak ad aplikasi ini sangatt membantu,,,,,sukses teruss yaa"
Galang Eka Permana,1,2026-05-03 17:16:58,"Aplikasi sering error, versi terampas"
koerniawan,1,2026-05-03 16:31:34,tidak bisa login
muhammad kaidir,3,2026-05-03 15:14:30,kadang ngebug jadwal kereta tidak tersedia tolong diperbaiki lagi
Nijan Trahila,5,2026-05-03 14:37:25,bagus
Andika,1,2026-05-03 12:49:35,"uda pesen tiket,gara"" maintenance tiket hilang"
Opik Taufik,3,2026-05-03 12:18:05,kenapa TDK bisa lagi di download
Muhammad Ilham,1,2026-05-03 11:27:42,"semenjak kecelakaan yang parah itu aplikasi ikutan rusak, makin susah di akses."
Yogi Prayogi,3,2026-05-03 11:26:45,"mau beli tiket malah ada pemberitahuan ""layanan sedang dalam pemeliharaan"" ini gimana saya mau berangkat kerja kalo aplikasinya saja tidak bisa digunakan, karena cuma transportasi kereta saja yg lokasinya dekat dengan tempat kerja saya, karna transportasi yg lain terlalu jauh. lama banget pemeliharaannya dari siang sampai malam belum beres beres"
prie 25,5,2026-05-03 11:02:38,oke
Novemba Avlen Wicaksono,1,2026-05-03 10:36:28,"Tolong perbaiki lah sistem bug kamu ini. Masa iya mau hapus aku ""Pilih Alasan Hapus Akun"" diklik berkali-kali gabisa sampai 1jam loh. Bukannya makin baik, malah makin buruk. Belum lagi sistem pembagian tarif tiket ga merata sampai saat ini. Ga semua orang perlu kelas bisnis, penting orang sampai tujuan dgn cepat liat data penjualan tinggi kelas mana ekonomi apa bisnis. Selalu kehabisan tiket tiap mau beli, yakali beli tiket yg jarak tempuh under 10 jam bayar harga overprice karna ekonomi habis."
mirza ahmad,1,2026-05-03 10:06:51,"manajemen kalian tolong diperbaiki, mohon dalam perekrutan tim IT dan yang menyangkut dengan aplikasi diseleksi secara adil dan jujur! jangan membawa orang titipan. saya jadi sering kehabisan tiket karena bug yang dialami pada aplikasi, saya sering mengalami kendala tiba tiba tiket pada hari itu tidak ada semua sampai Minggu depannya dengan tulisan jadwal tidak tersedia, tolong kalo gabisa kerja mati aja.. dari saya itu, mohon diperbaiki"
M Sa'diah,5,2026-05-03 09:18:19,"semangatt terus buat pak Boby dan rekan"" kai🔥🔥🔥 samean Kabeh topp pokoke"
wahyu agung,5,2026-05-03 08:40:19,"akhir2 ini app kai access agak lemot dan tiket kadang tidak muncul, saya coba buka lewat aplikasi shopee malah muncul tiketnya. jadi saya beli lewat app shopee bukan dari kai access langsung. tolong diperbaiki ya"
Emi Safitri,1,2026-05-03 08:17:52,kenapa akun saya tidak bisa kalau klik yg tanpa kursi pdahalawale kemaren masih bisa
Jo andi,4,2026-05-03 07:53:04,"mau download aplikasi di samsung a02 s ada tulisan tidak kompetibel dengan perangkat, kenapa ya?"
Akbar Bae,5,2026-05-03 05:41:47,good
Aldi Aldi,4,2026-05-03 05:00:08,bagus junihmatap
Byani P,1,2026-05-03 04:50:50,Di bikin kesal pesan tiket gagal terus
Devi Sukmawati,1,2026-05-03 03:43:56,buruk
alif syahdan,5,2026-05-03 03:42:57,saya bisa kemana mana naik kereta
Boyfriend Jeongmin,3,2026-05-03 03:13:32,bug pada connecting train
Dede Ardian,5,2026-05-03 02:31:57,siiip
ardion nandasutanto,1,2026-05-03 02:25:08,pembaruan aplikasi tidak tambah baik malah tambah buruk 👎
Selasa 22,1,2026-05-03 02:03:37,aplikasi dungu error mulu
Riyan Hidayatulllah,1,2026-05-03 01:49:37,"balikin duitnya, transaksi dibatalin tapi duitnya gak dibalikin"
Komar Udin,5,2026-05-03 00:36:36,bagus
subro to,5,2026-05-02 23:43:33,aplikasi semakin bagus
Syaiful Ihwan,5,2026-05-02 23:27:27,Bagus
Joko Ahmad Raharjo,1,2026-05-02 23:25:48,Pesan tiket jurusan Medan-Binjai tidak bisa.
Ardhan Febriansyah,5,2026-05-02 22:57:59,Sangat membantu untuk mencari informasi mengenai jadwal KA dan ketersediaan kursi. Semoga kedepannya bisa ditambah fitur penukaran railpoin menjadi merchandise
Ayhu Puspita,1,2026-05-02 22:52:33,apk sering error
Bendo,1,2026-05-02 18:37:00,"tidak bisa buat pesan tiket, jadwal tidak tersedia semuanya"
Kochzz,3,2026-05-02 17:37:18,selalu kalah mendapatkan tiket yang di pinginin heran udah succes malah error terus
Fadly Alun,3,2026-05-02 15:37:39,tolong untuk kai evaluasi asuransi refund pihak ke 3 karna proses klaim agak sulit
Wangga Arif mawan,5,2026-05-02 13:59:50,Bagus banget jadi GK ngantri di loket semoga st Brebes Jawa Tengah menjadi st besar tambah kereta nya amin🙏 solnya setip mau berangkat pagi sore MLM siang susah .. solnya GK ada keberatan pagi MLM sore siang? Tolong dong stasiun Brebes tambah kereta lagi KA Majapahit sama ka Brawijaya kA Blambangan ekspres kA Gumarang KA pandalungan KA Argo Anjasmoro KA Argo Merbabu KA Argo Muria KA Sindoro bisa di perpanjang sape Brebes Amin 🙏🙏💪💪💪🥺🥺🥳🥳
fibri murjianto,1,2026-05-02 13:19:46,"Tidak tepat waktu, jadwal keberangkatan molor."
alok simanjitak,1,2026-05-02 13:18:39,"gejelas, tiket kadang masih tersedia tapi ga muncul atau malah cuma muncul tanpa bangku, tp waktu di refresh malah muncul, jam tiba"" keubah ga jelas, tolong lebih di percepat performanya"
Azura Nova,1,2026-05-02 13:02:35,ga bisa daftar member basic
Siti Fatimah,1,2026-05-02 12:22:43,Perangkat Anda tidak kompatibel dengan versi ini😫😫 tidak bisa di unduh di hp saya
Dandy nur Ali shova,1,2026-05-02 09:03:18,"kenapa punya saya gak bisa untuk pemesanan ya.? setelah update jadi tidak bisa buat pemesanan.di akun adik saya bisa tapi di aplikasi saya tidak bisa? ketika ditekan ""lokal"" atau ""antar kota"" muncul ""sendang pemeliharaan"" dari setelah saya update lo.mohon segera di perbaiki,saya diarea madiun mau arah ke surabaya,."
ADCHARUL LUTVINDO,2,2026-05-02 07:03:14,kenapa tdk compatible lg dg perangkat?. posisi android 16. astaga udah complain dr 7 april peeihal update aplikasi supaya bisa diandroid 16 sampe skrg blm bisa... di email juga sama balasannya astaga... budget mantenance team IT buat apa
Rahmayani Fitri,5,2026-05-02 07:02:48,tambahkan menu di apk untuk melihat kereta datang tepat waktu atau terlambat
Yesianggraeni putri,5,2026-05-02 06:01:42,best bgt lah pokoknya. semangat terus KAI ditengah musibah ini. tp KAI keren poll
SUNGGUH NDRURU channel,5,2026-05-02 05:53:22,"mantap, murah"
Fairus,5,2026-05-02 05:00:08,"Mohon maaf 1 bintang dulu, soalnya belum sempat pake 🙏. Saat mau upgrade ke member basic, kode OTP sudah dikirim tapi loadingnya lama sekali, ya. Saya perhatikan banyak orang mengalami kendala yang sama juga. Mohon segera diperbaiki."
Zunus ahmad,5,2026-05-02 01:16:44,oke
